Nom,Type de whisky,Degré d'alcool,Brasserie,Pays,Prix,Epicé/Boisé,Tourbé/Fumé,Iodé,Fruité,Floral/Végétal,Malté,Organique,Vivacité,Pâtissier,Visuel,Odeur,Goût,Ancienneté,Description,Url
KURAYOSHI PURE MALT 8 ANS 43%,BLENDED MALT,43.0,KURAYOSHI DISTILLERY,JAPON,99.0,0,0,0,10,0,8,0,6,4,Vieil or,"Malt, fruits secs","Noisette, vanille",8,"Les maîtres assembleurs japonnais sont reconnus à travers le monde entier pour leur savoir-faire unique en matière de création de whisky. C'est la célèbre maison Matsui qui est à l'honneur avec ce Kurayoshi Pure Malt 8 ans. Ce blended malt est élaboré à partir d'eaux-de-vie sélectionnées dans plusieurs distilleries au Japon. Elles sont ensuite assemblées à la propriété Matsui puis vieillissent pendant 8 ans dans des fûts de chêne soigneusement choisis. La demande croissante du marché sur le secteur des whiskies japonais est supérieure à la capacité de production des distilleries du pays depuis quelques années. Les malts âgés se font donc de plus en plus rares car les distilleries cherchent à répondre à cette demande au plus vite. Cette expression 8 ans de Kurayoshi permet d'apprécier tout l'apport du bois, notamment avec des notes vanillées intenses, ou encore de la noisette.",https://vandb.fr/kurayoshi-pure-malt-8-ans-43-.html
KURAYOSHI SHERRY CASK 43%,SINGLE MALT,43.0,KURAYOSHI DISTILLERY,JAPON,88.0,0,0,0,8,6,0,0,0,6,Or clair,"Fruité, chocolat","Chocolat, citronnelle, fruité",0,"Kurayoshi est une ville japonaise située dans la province de Tottori. C'est ici que la maison familiale Matsui élabore des spiritueux depuis 1910. Monsieur Takeshi Matsui, l'actuel propriétaire, entretien le savoir-faire traditionnel de la maison acquise en matière de distillation d'alcool locale, le sonchu, le saké et le whisky. Kurayoshi Sherry Cask est un assemblage de whiskies de malts provenant de différentes distilleries au Japon et qui va ensuite être vieilli par la maison Matsui. Comme l'indique le nom de cette cuvée, le whisky va séjourner pour un minimum de 3 ans dans des fûts ayant contenu du xérès. La réduction du degré alcoolique se fait avec de l'eau filtrée par les roches volcaniques de la montagne Daisen, d'une pureté sublime. L'apport du fût de xérès se fait ressentir par de belles notes de fruitées, bien équilibrées avec des arômes de chocolat. Un pur régal !",https://vandb.fr/kurayoshi-sherry-cask-43-.html
THE TOTTORI 43%,BLENDED,43.0,KURAYOSHI,JAPON,29.9,8,0,0,6,4,0,0,8,4,Or clair,"Fruits secs, épices","Épices, vanille, chocolat, florale, boisé",0,"Vous souhaitez découvrir ou faire découvrir à vos proches l'univers du whisky japonais, voir du whisky tout court, The Tottori va s'y prêter sans difficulté.
Le nom de ce blended whisky fait référence à la province éponyme dans laquelle la distillerie élabore des whiskies depuis 1910.
Les japonais sont réputés dans le monde entier pour leur savoir-faire en matière d'assemblage et leurs whiskies ont également permis de ramener de nouveaux consommateurs dans l'univers du whisky en général.
The Tottori connaît un vieillissement d'au moins 3 ans en fûts de chêne blanc. Non filtré à froid et sans ajout de caramel, son profil aromatique est particulièrement équilibré.
Le nez est principalement marqué par les notes fruitées et épicées. La bouche nous conforte dans ces saveurs auxquelles s'ajoutent des notes florales ainsi que des notes pâtissières de chocolat et de vanille. La finale est douce et légèrement boisée.",https://vandb.fr/the-tottori-43-.html
SUNTORY THE CHITA 43%,SINGLE GRAIN,43.0,SUNTORY - CHITA,JAPON,67.0,8,0,0,0,6,0,0,4,6,Or clair,"Crème brûlée, cardamome, miel, bourgeon de rose","Touche de menthe, miel, épices douces",0,"Auteur des célèbres single malt japonais Hakicshu et Yamazaki, la maison Suntory signe ici son premier whisky single grain avec une troisième distillerie à son actif : The Chita.
Après l'offensive de Nikka avec son coffee grain, Suntory lui emboîte le pas en élaborant en collaboration avec la distillerie Chita un whisky du même nom comme à l'accoutumée. Cette cuvée se compose de trois sortes de distillats et de cinq nuances de whisky de grain (majoritairement à base de maïs). La maturation fait preuve elle aussi d'une grande diversité, avec l'utilisation de différents fûts de chêne du vieux continent, à la fois ex-vin, ex-bourbon et ex-xérès.
Le nez végétal et pâtissier nous entraîne ensuite dans une bouche onctueuse et délicatement fruitée où les notes miellées laissent ensuite leur place à la menthe et aux épices pour une finale fraîche et légère.",https://vandb.fr/suntory-the-chita-43-.html
LAMBAY 40%,SINGLE MALT,40.0,NON COMMUNIQUÉE,IRLANDE,55.0,6,0,0,6,4,4,2,6,8,Or pâle,"Caramel, pomme cuite, très gourmand","Épices douces, note sucrée, caramel, longueur modéré et souple, côté crémeux vanillé",0,"Connaissez-vous Lambay ? Non ? Imaginez-vous en Irlande, île parsemée de châteaux et rebaptisée ""île d'émeraude"", et plus particulièrment sur l'île Lambay. Ouvrez les yeux et contemplez les pleines verdoyantes. Peut-être qu'avec un peu de chance, vous tomberez sur un membre de la famille Baring, propriétaire de l'île.
Côté whisky : Le Lambay Single Malt est distillé à Cork et vieilli sur l'île dans des barriques autrefois utilisées pour du Cognac. Le nez rappelle la pomme caramélisée cuite au four. Une pointe de gourmandise, une pointe d'épice et un savoir-faire maîtrisé sont les principaux ingrédients de ce whiskey équilibré.
Conseil d'ami : si vous allez en Irlande, prenez le temps de survoler l'île Lambay.",https://vandb.fr/lambay-40-.html
KILCHOMAN SANAIG 46%,SINGLE MALT,46.0,KILCHOMAN,ECOSSE,68.9,2,8,0,10,0,0,0,4,6,Vieil Or,"Bruyère, raisins, poire, écorces d'orange, bouquet d’épices, tourbe riche","Prunes mûres, cerises rouges, agrumes, fumée de tourbe, toffee, cannelle, sucre roux",0,"Ce Kilchoman Sanaig est la seconde cuvée permanente de la ferme-distillerie, devenue rapidement incontournable au même titre que la cuvée Machir Bay, emblématique de la distillerie Kilchoman. Sanaig est le nom d'une crique située à la pointe nord de l'île, à deux pas de la distillerie.
Toujours précis dans la répartition du vieillissement de ses whiskies, la maison Kilchoman nous indique ici une part de 70% de vieillissement en fûts ex-sherry oloroso et 30 % en fûts ex-bourbon.
Le nez est riche, sur des notes de bruyère, de raisins secs, d'écorces d'oranges et d'une tourbe généreuse.
La bouche est gourmande et s'ouvre sur des saveurs de fruits à noyaux bien mûrs et d'agrumes. Elle laisse ensuite place à la fumée de tourbe suivie par des notes de toffee et d'épices douces, presque pâtissières.
La finale est longue et enveloppante, entre fumée persistante et fruité caractéristique de sherry.",https://vandb.fr/kilchoman-sanaig-46-.html
BOWMORE N°1 40%,SINGLE MALT,40.0,BOWMORE,ECOSSE,42.9,2,8,4,6,0,0,0,6,8,Or profond,"Vanille, fudge, air marin, fumée de tourbe, miel, cannelle","Agrumes, saline, vanille, noix de coco, fumée de tourbe, citron vert",0,"Bowmore est un incontournable dans le monde des whiskies tourbés. Cette distillerie est la plus ancienne de l'île d'Islay avec plus de 240 ans d'activité. Autant dire que niveau savoir-faire, la marque a quelques années d'expériences et sait le retranscrire à travers ses single malts subtilement tourbés et de caractère.
Ce Bowmore n°1 a la particularité d'être vieilli en fûts de bourbon de 1er remplissage uniquement. Les saveurs fruitées d'agrumes, de noix de coco ou encore la vanille sont parfaitement intégrées aux notes fumées de la tourbe, signature de Bowmore.
Un single malt doux réalisé dans les règles de l'art !",https://vandb.fr/bowmore-n-1-40-.html
YELLOW SPOT 12 ANS 46%,PURE POT STILL,46.0,MIDLETON DISTILLERY,IRLANDE,79.9,6,0,0,8,2,8,0,6,4,"Doré, Orangé","Fruits confits, Fruits secs, Epices","Pommes confites, Boisé, Vanille, Amandes",12,"Ce whiskey irlandais signe un retour en fanfare. Il avait connu un franc succès dans la première moitié du XXème siècle de part son profil très fruité et légèrement sucré dû à sa composition partielle de whiskey maturé en fûts de vin de Malaga.
Après qu'une bouteille fût retrouvée par hasard des dizaines d'années plus tard, l'idée de relancer la production ne traîna pas, les goûts ayant évolué, il fallait tenter !
Ce whiskey 12 ans d'âge a aujourd'hui retrouvé un public et les amateurs de whiskey ne boudent pas leur plaisir. Yellow Spot est désormais un single pot still whiskey distillé à partir de 40% d'orge maltée, 60 d'orge non maltée puisvieilli successivement dans trois types de fûts : ex-bourbon, ex-xérès et ex-malaga.
Ce Yellow Spot est un whiskey d'une rare complexité, avec un fruité explosif. La bouche moelleuse et à la fois tendue nous cajole entre fruits compotés, fruits confits et épices justement dosées.",https://vandb.fr/yellow-spot-12-ans-46-.html
THE POGUES BLEND 40%,BLENDED,40.0,WEST CORK DISTILLERS,IRLANDE,42.9,6,0,0,10,0,6,0,4,0,Or clair,"Doux, Céréales, agrumes, poivre, noix","Gourmande, Noix de muscade, miel, agrumes",0,"Ce whiskey a été réalisé en collaboration avec le groupe phare irlandais The Pogues qui allie le style punk à des rythmes traditionnels celtes !
Déjà passé à la postérité, on ne peut que leur souhaiter qu'il en soit de même pour leurs whiskeys. Une patte graphique singulière et qui ne manque pas de charisme !
Distillé à West Cork, The Pogues blend est à leur image : un mélange... de 50% de single malt vieilli en fûts de sherry et 50% de whiskey de grain irlandais vieilli en fûts de bourbon !
Le résultat est un whiskey doux et intense avec des notes de malt mêlées au miel et aux agrumes, accompagnées par des épices en fond sonore. Les notes maltées remontent le son sur la finale, oh yeah !
Idéal pour découvrir l’univers des Irish whiskeys avec sa trame aromatique absolutely irish, of course !",https://vandb.fr/the-pogues-blend-40-.html
HATOZAKI BLENDED 40%,BLENDED,40.0,THE KAIKYO DISTILLERY,JAPON,31.9,0,0,0,8,4,4,0,8,0,Paille Claire,"Fruité, pointe d'agrumes","Souple et fraîche, fruits à chair blanche",0,"Hatozaki est un whisky japonais élaboré par la distillerie Kaikyo située dans la ville d'Akashi. Cette dernière est assez récente, mais son histoire démarre en 1917 lorsque la famille Yonezawa, alors brasseur de saké, décide de se diversifier et commence à distiller.
A l'occasion de ses 100 ans de production de spiritueux, la maison installe deux nouveaux alambics, donnant ainsi naissance à la distillerie Kaikyo en hommage au pont Akashi-Kaikyo situé devant le bâtiment.
Elle produit alors le whisky Hatozaki, un blend constitué de whisky de malt et de whisky de grain ayant vieilli dans divers types de fûts incluant ex-bourbon, ex-sherry ou encore chêne Mizunara. Cette diversité offre à ce Hatozaki Blended, une belle complexité et un profil porté par des notes céréalières et fruitées. Un whisky doux et souple qui vous donnera envie de poursuivre votre voyage au pays du soleil levant !",https://vandb.fr/hatozaki-blended-40-.html
"BLANTON'S GOLD EDITION SINGLE BARREL 51,5%",BOURBON,51.5,BUFFALO TRACE,ETATS-UNIS,85.0,6,0,0,4,0,0,0,0,10,Auburn,"Seigle, tabac blond, miel, caramel, agrumes","Tabac, miel, seigle, chêne toasté, vanille",0,"Blanton's est produit dans la distillerie Buffalo Trace au cœur du Kentucky. Bâtie en 1792, elle est aujourd'hui la plus ancienne distillerie en activité aux États-Unis. Elle tire son nom de son emplacement d'origine, un chemin régulièrement emprunté par les bisons, d'où Buffalo Trace (trace de bison). Blanton's quant à elle, tire son nom du colonel Blanton qui dirigea la distillerie de 1912 à 1953.
Gold Edition est un Single Barrel, ce qui signifie que le bourbon embouteillé provient d'un seul fût et non d'un assemblage de fûts comme la majorité des bourbons.
Son profil pâtissier et épicé fait de ce Blanton's la version la plus aboutie de la gamme.",https://vandb.fr/blanton-s-gold-edition-single-barrel-51-5-.html
THE TEMPLE BAR SIGNATURE BLEND 40%,BLENDED,40.0,NON COMMUNIQUÉE,IRLANDE,39.9,8,0,0,10,0,0,0,6,4,Vieil or,"Fruit léger, miel, épices, baies rouges mûres, prunes","Frais, vanille, fruits, miel, bois, épices",0,"L'Irlande est une terre de tradition et beaucoup d'entre elles sont encore honorées par la population du pays. Cependant, Il semble que l'une d'entre elles se soit malheureusement perdue et elle concerne les pubs et le whiskey !
À une certaine époque en Irlande, chaque pub élaborait et embouteillait son propre whisky, leurs propriétaires y mettaient cœur et âme car toute la réputation du pub allait reposer sur ce whisky. Avec cet embouteillage Signature Blend, Temple Bar a décidé de faire revivre cette tradition perdue en sélectionnant et en assemblant les whiskies qui lui ressemblent.
Ce blend développe au nez des notes légères de fruits avec une touche miellée et épicée. Des notes de baies rouges, de prune et d'épices se font particulièrement sentir. La bouche est entre douceur et fraîcheur, avec une belle approche vanillée.
La finale douce et miellée revient avec plus de bois et d'épices.",https://vandb.fr/the-temple-bar-signature-blend-40-.html
BULLEIT RYE 45%,RYE,45.0,FOUR ROSES,ETATS-UNIS,39.9,10,0,0,6,2,0,0,2,0,Reflets dorés,"Boisé, floral","Boisé, fruité, épicé",0,"Le seigle à toujours eu une place particulière dans les whiskey Bulleit et ce depuis l'invention de la marque en 1987 par Tom Bulleit, arrière arrière petit-fils du créateur de la première recette en 1860, Augustus Bulleit.
Le contexte historique étant fixé, passons aux choses sérieuses, en l’occurrence notre Bulleit Rye. Mais qu'est-ce- qu'un ""rye"" whiskey ? Il s'agit d'un whiskey composé d'au moins 51% de seigle. Bulleit Rye en contient 95%, ce qui lui donne un caractère unique, épicé et complexe, qui lui a valu de nombreuses récompenses dans sa catégorie !",https://vandb.fr/bulleit-rye-45-.html
